Original Time,Rewritten Time
September 1961 to January 1968,From more than six decades ago to nearly 55 years ago
October 2019,late 2019
1998,Several years ago
2011,Twelve years ago
2015,Eight years ago
1986,almost four decades ago
1999,years before the new millennium
2006,around a year after the first iPhone's release
2009,a few years after
1969,fifty-four years ago
1991,more than three decades ago
1958,the following year
1957,roughly three dozen years ago
19 April 2004,mid-April of the early 2000s
21 December 2011,In late December of that year
February 2024,early next year
1977,several years later
"September 12, to September 18, 1991",around three decades ago
April 1993,In the early 90s
13 June 1972,Several years later
1979,two more years later
1930,More than two decades later
1942,One year before the World War II ended
2004 and 2008,a few years prior to the global financial crisis
2013,just after the election cycle that followed his state election
1955,two years after he started his military career
1963,a decade later
1963,A decade later
1964,The following year
1995,the following year
May 1992,A few months earlier
from December 2011 to March 2013,until a decade ago
11 May 2013,a few months later
March 2006 until April 2008,About 17 years ago
February 1945,early 1945
1945,that same year
1993,Thirty years ago
1996,Twenty-seven years ago
2001,About twenty-two years back
March 2017,Six years ago
1935,"""many decades ago"""
early 1945,"""towards the end of the war"""
1954,"""nearly 70 years ago"""
1937,two years later
1954–1956,mid-1950s
1959–1960,the following decade
1961,a year after the start of the 1960s
1964,many years ago
1967,A couple of years later
1972,decades ago
1967,several decades ago
1994,nearly three decades ago
November 1939,about four years into the conflict
1940,around a year later
1961,several decades ago
1959,towards the end of the 1950s
1997,Roughly eight years later
2011,recently
1983,three years later
1973,decades after the company's earlier models
2003,a few years later
1991,the early 1990s
1949,a few years after World War II
1988,About two decades later
1943,approximately eight decades ago
In 1943,Around the same time
1973,about half a century ago
1966,several decades ago
1964,the mid-1960s
1940,many years before now
1949,many decades ago
1984,after a dozen years
1980,around the turn of the decade
1952,quite a few years after him.
October 1996 to January 1998,In the late 1990s.
1973,About seven years later
1981 to 1989,"Eight years after joining, ... for eight years"
2011,around 12 years ago
1954 to 1957,for three years starting in his teens
1977,the late 1970s
1979,the next year
April 1981,in the months just before the early 80s
1983,about two years after
In 2013,Ten years later
1988,the late 1980s
1995,nearly three decades ago
July 2014,the summer of the last decade
`1974 to 1978`,`For four years starting in 1974`
`in 1990`,`16 years later`
"February 3, 1994",almost three decades later
December 2006,Several years ago
1971,a few years after
July 1968,a year after his selection announcement
May–June 1968,a few months prior to his resignation
1975,nearly five decades ago
November 1986,almost four decades prior to now
October 2008,Close to 15 years back
August 1986,Earlier that August
July 1986,A month prior
1994,sometime in the early '90s
1980,the same year
2003,two decades ago
2006,a couple of years later
2009–10,about thirteen years ago
2009,around the same time
1986,approximately three decades before now
1991,many years ago
2010 to 2014,over a decade ago to just under a decade ago
August 2004,A few years ago
1961,several decades ago
2009,a few years ago
January 2018,At the start of the year five years ago
2018,over five years
2019,over five years
March 2019,March four years ago
2019,in the year four years ago
1989,a long time ago
November 1995,many years back
"June 1, 1996",some months later
In 2008,Fifteen years ago
"September 29, 2018",Five years ago
1946,shortly thereafter.
3 September 1942,during the autumn of 1942
26 July 2019,a few months prior to Chandrayaan-2's scheduled landing
October 1964,about 59 years ago
1973,fifty years ago
1976,forty-seven years ago
1989,thirty-four years ago
1990,thirty-three years ago
January 1983,starting in the following year
August 2002,two decades later
August 2011,the next decade
2019,four years back
"September 28, 2007",a few months before the end of 2007
"October 3, 2007",a week later
2010,three years later
In 1973–74,About half a century ago
In 1984,Roughly four decades ago
Between 2006 and 2009,Not replaced
1946,Not long after World War II
1995,roughly three decades ago
1996,nearly 28 years back
1956,several decades ago
1988,over three decades ago
5 August 2016,a few years ago
1939–1940,just before World War II
October 1943,about a month after September 1943
1976 until 1980,*decades ago*
October 1986,*over three and a half decades back*
1987,*shortly after he joined the center in 1986*
"October 1, 1958",several decades ago
1986,more than 35 years ago
1993,many years ago
"May 6, 1993",10 days later
the release of the Amiga in 1985,the release of the Amiga.
Sassenrath left Commodore-Amiga in 1985,Sassenrath left Commodore-Amiga a couple of years later.
in 1986,The following year.
Since 2010,"In more recent times, since 2010."
1976,five years later
29 January 1981,towards the start of 1981
the 1982 election,the election held roughly a year later
1955,almost seven decades ago
1970,over half a century later
1848,many generations ago
1956,long before you were born
1976 New Year Honours,quite a few decades ago
1986,Not long thereafter
August 1966,several decades ago
March 1971,early 1970s
1977,six years later
2007,over a decade ago
2018,Five years ago
January 2024,several months from now
1980,some decades ago
2010,over a decade later
by 1978,just two years after its release
2007,around sixteen years ago
1923,nearly a century ago
1947,a few years after World War II
1999,over two decades later
2007,more than a decade ago
"August 10, 2010",over a decade ago
October 2006,almost two decades ago
8 July 2019,a few years ago
1956,many decades ago
2009,just two years later
1967,over half a century ago
1984,around four decades ago
1958,Several years later
1962,Eventually
1971,About three decades ago
2001,Early years of this century
1977,several decades ago
1988,more than three decades past
21 October 2008,shortly after the mid-2000s
2000,about two decades ago
June 2002,More than a decade later
1973,several decades ago
1976,a few years later
2010,some years back
2015,quite recently
1962,long before the paper was published
1996,7 years later
2013,Ten years ago
2014,The following year
1976,several decades ago
1981,about 42 years ago
"May 24, 1986",about 37 years back
"May 24, 1986",the same date
1928,two years later
1981,many years ago
1986,about five years later
1,1972 -> about five decades ago
3,1998 -> not too long before the turn of the millennium
5,2018 -> nearly five years ago
2005,A few years later
1973,some years later
1973,In the following 16 years
2014,"January 13, 2014"
2 - 2007,16 years ago
4 - 2014,Nine years back
5 - 2014,That same year
August 1942,a six-month period later in 1942
February 1943,just over one and a half years afterward
September 1945,a couple of years after the war ended in Europe
1964,a year after the completion of his lectureship
1987,Several years later
1987,A short while after that
2007,sixteen years before
2010,about thirteen years ago
1931,several decades ago
1990,about 30 years ago
1991,around the same time
February 2000,some 23 years ago
1950,the following year
1956,Nearly seven years later
1974,In the mid-1970s
October 2007,October of that year
May 2021,Not long ago
1968,more than five decades ago
1982,over four decades ago
1992,some years later
1995,a few years before the turn of the millennium
2002,a few years into the new century
1949,around a decade later
1966,three decades after his relocation to Italy
1979,just about twenty-nine years after that
1881,A few years later
August 1892,about 11 years before the turn of the 20th century
November 1910,almost 13 years into the 20th century
in 2003,quite a few years ago
in 2005,two years after that
1995,the mid-90s
1997,the late 90s
1998,around a year later
2017,six years ago.
1995,the mid-1990s
1999,about 24 years ago
"2, 1970-1971",nearly half a century ago
27 January 1989,three months later
In 1943,During World War II
1949,late 1940s
1955,six years later
1959,A few years prior to the Apollo 11 moon landing
"February 14, 1997",in the late 20th century
"April 30, 2004",Several years later
2009,A year later
1958,over six decades ago
1962,just over sixty years ago
1969,half a century ago
2002,two years after entering the new century
January 2010,early in the previous decade
2000,the dawn of the new millennium
1943,two years later
1963,Three years later
1966,Three years after that
1973,Seven years after the second arrest
October 1946,almost five years later
1950,not long into the next decade
19 May 2006,the same year
28 April 2008,a day two years later
1 June 2008,A month after their announcement in 2008
17 June 1965,some time during June 1965
1973,a year later
6 June 2008,several years ago
2022,Recently
1976–77,several decades ago
2002 to 2005,about two decades back
2007 and 2017,during a ten-year span ending a few years ago
"September 7, 2018",A few years ago
1933,nearly ninety years ago
1936,the following year
May 1936,about 87 years ago
1990,thirty-three years ago
2000,twenty-three years ago
2000,twenty-three years ago
1931–1938,during the 1930s
1973,the early 1970s
1985,a dozen years later
1973,the same decade
1973,the aforementioned decade
September 2003,About a year later
1994,Nearly three decades ago
March 2003,the early 2000s
late 2007,a few years before the next decade
2001,two decades ago
"August 14, 2008",the summer of 2008
June 2009,the middle of 2009
1987,several decades ago
18 March 1923,Relative
1942,six decades ago
1948-1951,a few years after World War II
1953,seven decades prior to today
1997,a decade and a half before the mid-2010s
2001,a couple of decades ago
1997,26 years after his immigration
June 2012,over a decade ago
1990,a few decades back
1997,more than two decades ago
2003,a couple of decades ago
In 2000,"Eventually, Zowie Entertainment was acquired by Lego, almost two decades after his involvement with Catalyst."
Vision 2007 Conference,Vision several years ago
2001,two decades ago
2002,a year later
1936,many decades ago
early 1937,less than a year later
1963,over half a century ago
2004,a few years after turning professional
2004,about two decades
2006,approximately two years after entering the professional scene
2014,mid 2014 (retained)
March 1980,Several months into that year
1976,several decades ago
1982,two years later
2006,seventeen years ago
2004,nearly two decades ago
2007,over a decade and a half ago
2008,fifteen years ago
1930,just after graduating
In 2002,Over two decades ago
In June 2016,Not too long ago
1995,nearly three decades ago
2007,Sixteen years ago
May 2007,the same month of that year
2013,ten years ago
1991,Following the independence of Belarus
2001,two decades ago
2006,nearly two decades ago
2015,eight years prior
2009,Roughly fourteen years back
1997,nearly two years later
1958,"""over six decades ago"""
1965,"""nearly six decades back"""
1988,"""about three and a half decades ago"""
1942,almost seven years later
1995,towards the mid-1990s
1997,from six years after Schaeffer's passing
June 1999,the summer of 1999
May 2003,a few months before the summer of 2003
1999,a few years before his tenure as deputy speaker
2008,about fifteen years ago
2014,almost a decade ago
2009,the year after he joined the board
2014,nearly ten years ago
1 November 2015,a little under eight years ago
1982,quite a long time ago
1991,Some years into his first marriage
1995,after a few more years
1999,as the millennium approached
2010,about a decade ago
2015,recently
2022,Last year
1972,over half a century ago
31 August 2014,some years back
In 1989,A few years later
By 1994,Several years after that
In 1978,Several decades ago
In 1985,Seven years later
In 1989,many years ago
In 1995,Over two decades ago
By 1936,During the Great Depression
Marie Manoogian died in 1993,Marie Manoogian died thirty years before the present year
Alex in 1996,Alex passed away three years after her
2004,Roughly two decades ago
1946,Right after World War II
1946,a little over three decades ago
1997 and 1998,a couple of years later
2002,several years later
From 2009,Starting 14 years ago
20 March 2010,ten years ago
In 2008,Fifteen years ago
October 1956,about a decade after World War II
"December 5, 1968",in late 1968
1980,Several decades later
2007,nearly two decades ago
1 September 2011,over a decade ago
1949,many decades ago
1984,the mid-1980s
1986–90,"""the late 1980s"""
1996,"""the mid-1990s"""
2000,"""a few years later"""
1942,The following year
May 1943,two years after starting his police career
1951,about eight years following his military drafting
In 1939,Two years later
23 July 2014,in the summer of the same year
24 April 2015,the following spring
9 October 2015,six months later
1990 to 2010,two decades starting three decades ago
30 December 2011,at the end of the following year
1998,A few years after
2 March 2006,Later that spring
1 August 2006,later that year
1 January 2014,nearly a decade ago
1994 to 2004,the mid-1990s to the early 21st century
September 2007,a few months before 2008
2011,Over a decade later
2013,That same year
March 2004,nearly two decades ago
2011,over a decade ago
1951,six years after the start of the Korean War
1958,long ago
"February 12, 2008",not so many years ago
1936,several years later
1995,back in 1995
2 December 1998,late 1998
1957,quite some time ago
1962,a few years later
1968,not long before the mid-70s
1973,In the original context
between September and December 1990,in the latter part of 1990
which was held at CERN in May 1994,which happened a few months later
from 1994 until 2002,from a year after that until about two decades ago
1941,A couple of years later
1945,Some years after that
1961,A little over a decade later
1950,the middle of the 20th century
1960,a span of a decade
"May 20, 1984",late in the spring of the following year
1947,two years later
1993,around three decades ago
1974,nearly five decades ago
1980,over four decades ago
1992,the early 1990s
1997,the late 1990s
2011,a dozen years ago
1980s,decades past
1948-49,seventy-five years ago
1966,almost sixty years back
In 1934,The following year
1991,several decades ago
1991,just over three decades ago
1993,no change
1993,just over three decades ago
1945,seven decades ago
1988 to 2013,more than three decades ago to a decade ago
2014 to 2016,nearly a decade ago to just a few years back
"March 9, 2016",more than seven years ago
November 2004,around a year later
2005,two years after 2003
"July 20, 2007",the summer day of the year after two years had passed from then
1999,About four years later
1997,Many years ago
late 2011,Some time back
mid-2016,A few years ago
`1925`,`almost a century ago`
`1941`,`During the early 1940s`
`1983`,`four decades ago`
1995,A few years later
2003,After close to a decade after that promotion
1938,many decades ago
2005,Several years back
13 April 2005,a Wednesday in April
1952,nearly seven decades ago
1968,over half a century back
1992,a little over three decades ago
1969,many years back
1970,many decades ago
1971,more than half a century ago
in 2004,several years ago
3: _In 1937_,_Four years after joining Scuderia Ferrari_
4: _for 1938_,_just before the onset of World War II_
3 July 2016,a few years ago
1 December 2016,later that same year
1978,several decades ago
1979,over four decades ago
2012,over a decade back
2013,two years later
30 September 2020,end of September 2020
2014,several years ago
in 1971,"""some decades ago"""
in 1971,"""back in the early '70s"""
from 1971 to 2004,"""over the span of several decades"""
August to September 2008,during the late summer of 2008
September to December 2008,until the close of 2008
September 2010,a decade ago
2011,twelve years ago
1966,more than two decades later
2000,**over two decades ago**
2001,**the early 21st century**
2005,**nearly two decades ago**
2015,**for a decade starting**
1977,many years ago
1982,A few years later
1995,a decade before today
2000,the beginning of this millennium
1978,a few decades ago
1989,several years after the start of the Delors Commission
October 1997,in that same year
"May 5, 2002",two decades ago
2001,around five years later
2006,about five years after that
January 2019,A few years ago
five years ago,a handful of years ago
1982,several decades ago
1999,about 24 years ago
1963,15 years ago
1978,25 years ago
1993,30 years ago
1987 to 1989,the late 1980s
March 2000,more than two decades ago
2012,over a decade ago
1931,early 1930s
1931,early 1930s
1937,a few years before the Second World War
1959,late 1950s
1961,early 1960s
1965,mid-1960s
1994,seven years earlier
December 2001,later that year
2006,five years afterward
1955,a few years later
1976,decades after
1938,Four years later
1945,after the conclusion of World War II
1951,six years postwar
2 - 1957,Almost a decade after
3 - 30 November 1990,several years before the new millennium
4 - 2000,In the early 2000s
5 - 8 June 2016,several years ago
1 - 1949,many decades ago
November 2012,late in the fall a decade ago
February 2013,early in the following year
mid-2014,almost a decade ago
2001,About two decades ago
1985,Several decades ago
1991,the early 90s
1991,the same year
"September 28, 2018",A few years ago
2022,Recently
1950,in its early days of presence in the market
1982,Several decades later
1960,many years ago
1972 to 1989,several decades ago to about three and a half decades ago
In 1951,Nearly two decades later
1972,a few decades ago
2002,about two decades back
1993,some thirty years ago
7 March 2012,a little over a decade ago
1932,many decades ago
1935,a few years after joining the AAA
2003,nearly two decades ago
the 1973 oil crisis,five decades ago
1974,a year later
1937,eight years later
1937,in the same year
1947,many years after his enrollment
1927,many decades ago
1951,several decades back
1993 to 2003,For a decade following that
2005,nearly two decades ago
1941,a long time ago
1944,during the later stages of World War II
1949,A few years after the war
1964,many years ago
1968,several decades back
In 1981,Several years ago
"on May 1, 2003",not long into the new millennium
In 2017,Several years back
1994,nearly three decades ago
From 2001 to 2015,During the early 21st century
2013,a decade ago
2002,two decades ago
2005,over fifteen years ago
1959,many years later
1962,Not long after this achievement
1901,over 120 years ago
1930–1931,the early 1930s
1939,four years before World War II ended
1962,the early 1960s
1967,over five decades ago
1994,some time back
1994,some years ago
1998,around two decades ago
1999,for one year
in 2010,since early 2010
1954,Three years later
1958,Four years after that
1975,almost a decade later
"August 21, 2006",2006
"July 6, 2019",shortly after
2019,four years ago
1935,shortly after that time
1970,30 years ago
17 October 2014,almost three years ago
5 January 2015,At the start of 2015
1998,five years before the start of the new millennium
2000,September two decades ago
In 1966,Several years later
2016,several years ago
2023-11-01T00:00:00 November 2008,about 15 years ago
2001,twenty-one years ago
2002,the following year
2005,eighteen years ago
2005,that same year
12 July 2006,a year after his marriage
16 July 2008,In the following months
"July 17, 2008",the very next day
1993,nearly three decades ago
1999,near the turn of the century
1 August 2008,"during the summer, several years past the first decade of this millennium"
24 September 2008,later that autumn
Between 1970 and 1989,From the beginning of the 1970s until the late 1980s
25 February 1993,early the following year
2002,two decades ago
"March 17, 2003",just over a year after that
October 2009,the autumn of over a decade ago
March 2009,the spring of that same year
1933,many decades ago
1940,long before the end of the Soviet Union
In 1964,The following year
1965,a couple of years later
1968,a few years afterward
1994,almost three decades ago
2003,a few years into the new millennium
February 2011,over a decade ago
in 1932,"""over nine decades ago"""
December 2009,A few years back
October 2009,A few months prior to that revelation
2003,the elections that happened four years later
1963,"""Around three years later"""
1992,"""approximately three decades ago"""
1968,just over five decades ago.
1991,four years later
In 2002,Several years after joining Shellac
September 2004,several years later
1996,Several years later
2002 to 2009,From the early 2000s until about 14 years ago
1976,that year
this period,this era
1980,the early 1980s
2010,A few years later
2013,a decade ago
2013,around a decade ago
2009,about 14 years ago
1998,about five years after 1993
2018,Five years back from today
1956,several years later
June 2011,"""the summer of 2011"""
From March 2003 to October 2009,"""Over two decades later, Pássaro began serving..."""
1924,four years prior
1960–1971,"""through parts of the 1960s and into the early 1970s"""
1966,"""not long after"""
1990,just two years later
In 2014,Several years later
1958–59,one academic year in the late 1950s
1962,more than six decades ago
1976,almost half a century ago
2000,a couple of years later
21 August 2007,a little more than a decade ago
"October 29, 2014",Almost a decade ago
2022,Last year
1979,over four decades ago
1999,Towards the end of the last millennium
July 2002,In the summer of the early 2000s
March 2012,More than a decade ago
29 January 1927 – 19 October 2004,Retained
1959,six decades ago
"November 15, 1960",about fifteen years after his birth
1980,Retained
2010,about a dozen years ago
2021,Quite recently
From 1962 to 1967,From sixty-one years prior to his appointment as Prime Minister
In 1997,Two decades ago
from October 1997 to March 1998,around that same year
following the 2011 general election,following more than a decade ago's general election
1999,Two decades later
early 2000,the following year
2014,three years later
1990,several decades ago
2009,Fourteen years ago
"September 14, 1912",September 1912
23 December 1940,two days before Christmas that year
23 December 1940,two days before Christmas 1940
February 1973,a few months later
1973,About a year after
2004,A year before my training cut-off
2007,16 years ago
In April 2005,About eighteen years ago
In 2016,Seven years ago
1980,nearly a decade later
1985,a few years after that
1989,more than 30 years ago
1992,three decades ago
2003,for over two decades
2011,April 2011
the 1985 ETCC,the mid-1980s ETCC
10 July 1930,a few decades before World War II
1933,shortly after Adolf Hitler came to power
April 1955,nearly seven decades ago
1943,during the early 1940s
1953,in the early 1950s
1991,back in the early '90s
1968,the late 1960s
1972,the early 1970s
1981,the early 1980s
1968,several decades ago
1971,over five decades ago
1972,roughly half a century ago
1982,towards the close of the early 1980s
1998,about five years later
1991,the early '90s
1992,the following year
June 2000,quite a while ago
April 1998,a number of years back
2010,some time thereafter
June 2009,not long after his appointment in April 2009
1983,forty years ago
1984,a decade later
2002,More than two decades ago
in 1948,several decades ago
in 1967,a few years before the end of the 1960s
in 1969,close to the end of the 1960s
in 1969,decades later
1991,over three decades ago
1995,less than five years after joining the company
April 2009,a couple of years prior to the end of the decade
In the general elections of 1985,During the elections five years later
In the general elections of 1990,another five years later
"April 2, 1992","On April 2nd, during the year that followed his re-election"
"1, 1977",many decades ago
"2, 1977",around that time
1920–1925,a century ago
1932–1938,the time following
1958 and 1964,about sixty-five years ago
2010–2014,roughly a decade ago
1955,several years before making a significant acquisition
"August, 1955",later that same year
1962,soon after acquiring his competitors
6 April 2005,in early April a couple of years after the invasion
2006,more than a decade ago
January 2006,in the January election almost two years later
1983,four decades ago
2001,over two decades ago
2015,only eight years ago
1950,about seven decades ago
1961,about six decades ago
1967,late 1960s
1968-1982,late 1960s to the early 1980s
1983-1986,early to mid-1980s
25 December 2013,shortly before the end of 2013
2006,not long after the first five years of the new millennium began
1982,Over four decades ago
1983,A year later
1990,Over three decades ago
1957,many decades ago
1974,some time in the 1970s
1980,some time in the 1970s
October 1999,over twenty-three years ago
October 2003,two decades ago
1970,**decades ago**
1993,**Years later**
July 1996,more than two and a half decades ago
1966,several decades ago
1960–1965,during the early 1960s
1969 to 1971,for a two-year period beginning in the late 1960s
1992,in the early 1990s
1992,later that same year
1994,nearly three decades ago
1999,half a decade later
"January 19, 2017",six years ago
1965,more than half a century ago
1991,Two years later
1950,a few years after the mid-20th century
1979,about a decade post-1967
1986,sixteen years later
1985,fifteen years after the mid-20th century
"April 23, 1989",late in the 1980s
2005,many years ago.
1993,About three decades later
1981,the early 80s
1983,two years after that
2013,Just a few years back
2020,During the recent
March 2021,a couple of years ago
30 March 2022,last year in March
1983 to 1984,forty to thirty-nine years ago
2008 to 2010,for a two-year period leading up to thirteen years ago
1 February 1972,early '70s
1984,mid-'80s
From 1999,turn of the millennium
To 2007,late '00s
2009,more than a decade ago
24 November 2005,November that same year
2010,a decade ago
2006,17 years ago
2011,12 years ago
February 2007,16 years ago
1988,35 years ago
In 1995,Two years after
In 2007,Five years down the line
1995,Nearly three decades ago
2003,two decades ago
2008,"roughly a decade and a half ago (Note: This replacement exceeded the required task of 2 as it's within the same clause context where the absolute time expressions are considered in proximity, but we'll adhere to the original task by replacing only two instances distinctly.)"
1987,four years later
1995,approximately eight years after his stint at Domus Academy
2016,Seven years ago
31 January 1958,less than four months after the Soviet Union had launched Sputnik
1976,several decades ago
16 November 1989,late 1989
1992,early 1990s
1992,the early 1990s
1941,several decades ago
1944,mid-1940s
1945,mid-1940s
1934,the following year
1972,four years later
1974,two years after that
2000,two decades later
1968,During the 1968 Games
July 2010,more than a decade ago
15 May 2011,a little over a decade ago
July 2012,about 11 years ago
1971,Around five years later
1974,Early 1970s
1978 to 1983,until four and a half decades ago
1994 to 1997,over a quarter-century ago
2012,about 11 years back
1998,two decades ago
December 2005,nearly twenty years back
2002,approximately twenty years ago
2009,many years ago
start of 2010,over a decade ago
2010's,the previous decade
July 2020,not long ago
In 1926,The following year
of 1965,in the mid-1960s
on 4 September 1976,a few decades ago
in 1996,almost 30 years ago
1993,Roughly five years prior to the settlement
1988,over three decades ago
2005,about 18 years ago
In August 2002,In the summer of 2002
September 2002 to December 2004,from then until late 2004
February 2019,a few years ago
2010,just a few years later
1938 and 1941,Between about two years before World War II started and nearly when the U.S. entered the war
1976,nearly fifty years ago
1988,in the late 1980s
1998,towards the turn of the millennium
2003,a few years into the new century
1955,many decades ago
until 1959,for a couple of years
1960,those same years
1970,five decades back
2005,roughly two years after its repurposing
2018,five years ago
in 2001,about two decades ago
since 2005,for nearly two decades
1954,many years ago
1964,several decades ago
1965 to 1973,mid-1960s to the early 1970s
1973 to 1975,early 1970s to the mid-1970s
1940,several decades ago
1968,about three decades later
1984,many years ago
29 October 1937,that autumn
1988,Decades later
1967–68,over five decades ago
March 1996,over a quarter-century ago
2001,more than two decades back
1942,during the second world confrontations
1968,around a time of significant political upheaval in Poland
1970,around five decades ago
1964,shortly before the mid-1960s
1967,a few years after its design
December 2011,about a decade ago
After the 2015 local elections,Not long after the local elections eight years ago
from 2015 to 2019,between then and approximately four years ago
2019,four years ago
1951,over seven decades ago
2007,In the past 16 years
April 2009,Earlier that year
2009,that year
"February 8, 2010",earlier that previous month
1956,many years ago
1975,decades ago
2018,a few years back
September 2010,over a decade ago
1955,just a few years later
1957,a couple of years after that
1957,the same year
1983,the early 1980s
21 June 1994,the summer of 1994
1959,just a year after
1960,A short time later
1964,a few years later
1974,nearly a dozen years after
1958,the late 1950s
1963,the early 1960s
1975,the mid-1970s
1984,the mid-1980s
1987,"**(not replaced, retained as absolute time expression)**"
2013,a decade ago
March 1981,at the start of the following year
early 1987,soon after
2011,a little over a decade ago
March 2012,approximately one year after that
2000 to 2002,two decades ago to one year later
July 1961,the middle of 1961
August 1944,a couple of decades earlier
1977,the late 1970s
1979,just before the early 1980s
1980,1980 (retained as absolute time)
1992,over three decades ago
2018,a few years ago
September 2023,Earlier this month
June 2024,Next summer
in 1962,one year later.
1947,"""around one and a half decades later"""
1949,"""two years down the line"""
1961,"""about a decade later"""
1978,several decades ago
2001,Somewhere around two decades ago
1995,just one year later
1999,before the turn of the new century
2014,nearly a decade ago
2002,two decades ago
2012,over a decade ago
2018,next year
October 2006,About four years later
September 2010,Roughly three years later
2013,A decade ago
2002,two decades ago
August 2009,the summer of 14 years ago
"February 16, 2013",Earlier that year
2017,six years ago
2006,17 years ago
2013,a decade ago
1965,several decades ago
1974,nearly five decades ago
1975,the following year
1990,for about 15 years
2005,roughly 18 years ago
1943,during the mid-20th century
1956,a few years later
1959,Towards the end of the decade
1947,several years after the end of World War II
1948,the year following the derailment
In 1936,A couple of years later
in 1938,shortly before the outbreak of World War II
"On January 1, 1940",as the new decade began
2002,Around two decades later
Christmas Day 2003,during the holiday season of that year
1956,Over six decades ago
1970,about five decades ago
1999,quite some time ago
2001,several years later
2011,some half a decade later
2012,Not too long after
8 March 2016,early March 2016
On 5 November 2017,In early November 2017
2003,two decades ago
2007,late in the same decade
2003,close to that time
"November 30, 2007",a specific day in late 2007
December 2007,around that time
2010,a year before last
2002,Around 21 years ago
1919,more than a century ago
1959,six decades ago
1965,almost sixty years ago
1971,a couple of years before the mid-1970s
1974,mid-1970s
2001,over two decades ago
2001,the early 21st century
14 December 1993,December of that same year
In 1996,A few years later
1975 to 1990,starting in the mid-1970s and continuing for one and a half decades
2001,over two decades ago
2004,less than twenty years back
2015,several years ago
1987,A few decades ago
2000,the turn of the millennium
2006,Several years ago
2008,a subsequent year
July 2000,a month later
"March 6, 2001",early in the next year
1945 to 1961,"After the war, from then until some 16 years later"
1970,when he ended his term
August 2010,a decade ago
February 2012,early last year
2012,about 11 years ago
2004,around two decades ago
2006,in the middle of the first decade of the 2000s
1 December 2011,towards the end of 2011
July 2012,almost a decade ago
2015,eight years ago
In 2000,two years after
In 2017,Six years ago
In December 2018,Nearly five years ago
2000 to 2002,for two years starting at the turn of the millennium
2007 to 2008,During the subsequent years
December 2008,nearly 15 years ago
Since 2010,For more than a decade now
Since 2012,Over the past 11 years
1992,three decades ago
2007,more than one and a half decades ago
2022,in the past year
1989,Thirty-five years later
1997,about 26 years ago
2004,Several years after the turn of the millennium
1998,a few years later
2000,a short time after the lawsuit was initiated
1995,several decades ago
1991 to 2007,the early 1990s until the mid-2000s
2009,14 years ago
1990,the early 1990s
January 2001,the early 21st century
March 2008,several years
March 2004,the spring of 2004
November 2004,later in that same year
1995,nearly three decades ago
2000,the turn of the millennium
2001,some months later
2000,not long before
2004,nearly two decades prior
"August 28, 2017",six years ago
2001,By the beginning of the new millennium
September 2006,a few years into the 21st century
2008,Shortly thereafter
2012,the following year
"March 24, 2013",in the spring of 2013
"October 17, 2013",about a decade ago
1991,roughly three decades ago
December 2023,about two months ago
1979,Some years later
1996,the mid-'90s
2004,the mid-2000s
2008,five years later
2008,approximately a decade and a half ago
2006,more than seventeen years ago
2005,around eighteen years ago
1966,one year
late 1967 and early 1968,a short while later
1981,forty years ago
1991,early nineties
2004,nearly two decades ago
2009,more than a decade later
1987,nearly four decades ago
In 2007,Six years before
during the 2008 Argentine government conflict,"during the Argentine government conflict, which happened around 15 years ago"
He ran as a candidate for Mayor of Tehran in 2017,He ran as a candidate for Mayor of Tehran six years ago.
July 1940,just shy of a year after his graduation
July 1942,after two years of dangerous work
1943,in the spring of the following year
1946 to 1956,a ten-year span starting shortly after World War II
1994 to 2001,from 1994 until the start of the 21st century
1947,Four years later
27 April 1960,a spring day in 1960
1984,nearly four decades ago.
2005,in this season.
In September 1967,A few years later
in 2024,next year
1952,early 1950s
1981,early 1980s
31 December 1981,the final day of 1981
23 March 1982,the early spring of 1982
2000,over two decades ago
January 14 2008,Earlier this year
2008,this year
1991,three decades ago
2001,two decades ago
1999,A couple of years before the turn of the millennium
1958 to 1967,throughout the late 1950s to the late 1960s
1969,a year later
1929,nearly a century ago
1930,about a year later
1935,six years after that
1946,a little over a decade later
"August 31, 2010",in late summer of that year
1985,the mid-1980s
1990,two decades ago
2005 and 2006,about 17-18 years ago
December 1986,late in 1986
20 March 1987,A few months later
1991,early 90s
1990,more than three decades ago
1 - June 1976,several decades ago
1993,the mid-90s
2000,the early 2000s
2005,a few years after that
2009,about fifteen years ago
1972,a time over five decades ago
January 1950,the early 1950s
1973,a year later
"July 13, 2011",Later that year
October 2012,Not long before the start of the following decade
2013,ten years ago
February 2013,Early the same year as his resignation
1948,the year following his professorship appointment
1955,seven years later
2002,over two decades ago
2005,a few years later
2009,just over a decade ago
her final term came to an end in 1995,"multiple times, culminating her service several decades ago"
1980,the early 1980s
September 1991,the early 1990s
October of that year,late that year
1940,during the second year of the war
1946,a year after the war ended
1951,five years post-war
2009,about 14 years ago
2005,in the years following
2010,A few years ago
1988,many years ago
1997,the late 90s
1998,the following year
1998,afterwards
between 1959 and 1968,during the late 1950s and the 1960s
"on August 6, 1993",nearly thirty years ago
2013,nine years ago
1939,a year later
1987,decades later
1991,a few years after that
2012,About a decade ago
1955,three years later
1955,in the same year
9 November 1961,approximately nine years later
1986,Over 30 years ago
1973 to 1992,several decades ago to the early 1990s
1997 copy,shortly after taking office
